															
Player	Team	G	IP	GS	QS	QS%	K/BB	K/9	BB/9	HR/9	BABIP	Str%	FB MPH	ERA	FIP
Max Fried	ATL	9	26.0	4	0	0.0	1.8	7.6	4.2	1.0	.338	79.5	92.4	3.81	4.44
Sammy Solis	WAS	30	26.0	0	0	0.0	2.2	9.7	4.5	1.4	.269	58.1	93.9	5.88	4.60
Shawn Kelley	WAS	33	26.0	0	0	0.0	2.3	8.7	3.8	4.2	.236	67.9	91.8	7.27	8.59
Brandon Kintzler	WAS	27	26.0	0	0	0.0	2.4	4.2	1.7	0.7	-	71.4	93.4	3.46	3.87
Jake Petricka	CWS	27	25.2	0	0	0.0	4.3	9.1	2.1	2.1	.398	64.1	94.2	7.01	4.94
Anthony Banda	ARI	8	25.2	4	1	25.0	2.5	8.8	3.5	0.4	.329	54.3	94.2	5.96	2.97
Dovydas Neverauskas	PIT	24	25.1	0	0	0.0	2.1	6.0	2.8	1.4	.267	75.0	97.0	3.91	4.89
Jackson Stephens	CIN	7	25.0	4	1	25.0	2.3	7.6	3.2	2.2	.203	68.2	93.4	4.68	5.76
Braden Shipley	ARI	10	25.0	3	0	0.0	1.2	6.5	5.4	1.8	.317	73.2	92.7	5.76	6.22
Mike Wright	BAL	13	25.0	0	0	0.0	4.0	10.1	2.5	1.8	.318	60.7	93.6	5.76	4.43
Sergio Romo	LAD	30	25.0	0	0	0.0	2.6	11.2	4.3	2.5	-	64.3	86.1	6.12	5.85
Deolis Guerra	LAA	19	25.0	0	0	0.0	1.8	7.9	4.3	1.4	.239	67.9	91.7	4.68	5.01
Jeremy Jeffress	MIL	22	24.2	1	0	0.0	1.5	8.0	5.5	0.7	-	78.4	94.5	3.65	4.36
Steve Cishek	TB	26	24.2	0	0	0.0	3.7	9.5	2.6	0.0	-	85.0	90.3	1.09	1.97
Jeurys Familia	NYM	26	24.2	0	0	0.0	1.7	9.1	5.5	0.4	.290	68.6	95.9	4.38	3.59
Shawn Armstrong	CLE	21	24.2	0	0	0.0	2.0	7.3	3.6	1.8	.250	75.0	93.2	4.38	5.47
Hector Velazquez	BOS	8	24.2	3	0	0.0	2.7	6.9	2.6	1.5	.258	83.3	89.6	2.92	4.65
Ariel Hernandez	CIN	19	24.1	0	0	0.0	1.3	10.7	8.1	2.2	.157	73.3	98.0	5.18	6.82
Steven Wright	BOS	5	24.0	5	1	20.0	2.6	4.9	1.9	3.4	.365	63.9	83.7	8.25	7.64
Rex Brothers	ATL	27	23.2	0	0	0.0	2.8	12.5	4.6	1.1	.357	50.0	95.4	7.23	3.63
Grant Dayton	LAD	29	23.2	0	0	0.0	1.7	7.6	4.6	1.9	.215	69.2	91.2	4.94	5.83
Julio Urias	LAD	5	23.1	5	1	20.0	0.8	4.2	5.4	0.4	.293	63.9	93.1	5.40	4.67
Carson Fulmer	CWS	7	23.1	5	2	40.0	1.5	7.3	5.0	1.5	.190	76.0	93.3	3.86	5.53
Tony Cingrani	CIN	25	23.1	0	0	0.0	4.0	9.3	2.3	3.5	-	77.3	94.4	5.40	6.95
Chris Hatcher	OAK	23	23.0	0	0	0.0	2.2	7.8	3.5	1.2	-	77.8	94.6	3.52	4.37
Trevor Cahill	KC	10	23.0	3	0	0.0	0.7	5.9	8.2	3.9	-	75.0	90.9	8.22	10.38
Jordan Lyles	SD	5	23.0	5	0	0.0	2.2	8.6	3.9	2.0	-	52.5	93.8	9.39	5.46
Jeanmar Gomez	PHI	18	22.1	0	0	0.0	3.0	8.5	2.8	2.8	.381	64.5	90.6	7.25	6.37
Rob Scahill	MIL	18	22.1	0	0	0.0	1.0	4.0	4.0	1.2	.254	71.4	93.9	4.43	5.44
Eduardo Paredes	LAA	18	22.1	0	0	0.0	2.8	6.9	2.4	0.8	.297	64.0	93.2	4.43	3.67
Matt Dermody	TOR	23	22.1	0	0	0.0	3.0	6.0	2.0	2.4	.254	77.3	92.1	4.43	6.04
Shelby Miller	ARI	4	22.0	4	1	25.0	1.7	8.2	4.9	0.4	.288	71.0	94.9	4.09	3.66
Brett Anderson	CHC	6	22.0	6	1	16.7	1.3	6.5	4.9	0.8	-	59.1	90.5	8.18	4.62
Pat Neshek	COL	28	22.0	0	0	0.0	24.0	9.8	0.4	0.4	-	75.0	90.3	2.45	1.75
Aaron Bummer	CWS	30	22.0	0	0	0.0	1.1	7.0	6.1	1.6	.167	70.8	93.2	4.50	6.13
Andrew Heaney	LAA	5	21.2	5	1	20.0	3.0	11.2	3.7	5.0	.283	79.2	91.9	7.06	9.20
Jack Flaherty	STL	6	21.1	5	0	0.0	2.0	8.4	4.2	1.7	.322	62.1	93.2	6.33	5.22
Sean Doolittle	OAK	23	21.1	0	0	0.0	15.5	13.1	0.8	1.3	-	54.5	94.7	3.38	2.41
Neil Ramirez	NYM	20	21.0	0	0	0.0	1.5	11.1	7.3	1.7	-	66.7	93.1	6.43	5.71
Javy Guerra	MIA	16	21.0	0	0	0.0	1.7	5.1	3.0	0.9	.313	82.1	92.3	3.00	4.33
Tommy Milone	MIL	6	21.0	3	0	0.0	8.0	6.9	0.9	2.6	-	64.0	88.0	6.43	5.69
Michael Tonkin	MIN	16	21.0	0	0	0.0	2.0	10.3	5.1	2.6	.296	78.6	94.0	5.14	6.40
Ryan Merritt	CLE	5	20.2	4	1	25.0	1.8	3.0	1.7	0.0	.333	86.7	87.3	1.74	3.12
Silvino Bracho	ARI	21	20.2	0	0	0.0	3.6	10.9	3.0	2.2	.260	60.0	93.6	5.66	4.98
Jimmy Yacabonis	BAL	14	20.2	0	0	0.0	0.6	3.5	6.1	0.9	.242	73.3	95.4	4.35	5.78
Giovanny Gallegos	NYY	16	20.1	0	0	0.0	4.4	9.7	2.2	1.3	.316	65.2	94.1	4.87	3.72
Tyler Olson	CLE	30	20.0	0	0	0.0	3.0	8.1	2.7	0.0	.250	100.0	89.1	0.00	2.33
Tyler Mahle	CIN	4	20.0	4	1	25.0	1.3	6.3	4.9	0.0	.302	80.0	92.9	2.70	3.51
Brandon Maurer	KC	26	20.0	0	0	0.0	1.9	9.4	4.9	1.8	-	65.9	96.6	8.10	5.40
Steve Cishek	SEA	23	20.0	0	0	0.0	2.1	6.8	3.2	1.4	-	76.5	90.3	3.15	4.74
Ryne Stanek	TB	21	20.0	0	0	0.0	2.4	13.1	5.4	2.7	.417	78.1	98.2	5.85	6.06
Tony Watson	LAD	24	20.0	0	0	0.0	3.0	8.1	2.7	0.9	-	78.9	93.6	2.70	3.63
Tony Cingrani	LAD	22	19.1	0	0	0.0	4.7	13.0	2.8	0.5	-	75.0	94.4	2.79	1.94
Koda Glover	WAS	23	19.1	0	0	0.0	4.3	7.9	1.9	0.5	.328	56.5	96.5	5.12	2.76
Joe Jimenez	DET	24	19.0	0	0	0.0	1.9	8.1	4.3	1.9	.403	38.9	95.3	12.32	5.62
Kyle McGrath	SD	17	19.0	0	0	0.0	2.7	7.6	2.8	0.9	.235	77.8	86.5	2.84	3.86
Caleb Smith	NYY	9	18.2	2	0	0.0	1.8	8.7	4.8	1.9	.315	55.6	94.0	7.71	5.72
David Hernandez	ARI	26	18.2	0	0	0.0	15.0	7.2	0.5	1.9	-	62.5	93.7	4.82	4.54
Joe Smith	CLE	21	18.1	0	0	0.0	0.0	9.8	0.0	0.5	-	60.0	89.0	3.44	1.73
Zach Duke	STL	27	18.1	0	0	0.0	2.0	5.9	2.9	1.5	.196	68.8	88.0	3.93	5.03
Dillon Overton	SEA	9	18.1	1	0	0.0	4.0	3.9	1.0	2.0	-	52.6	89.2	6.38	5.50
Jesen Therrien	PHI	15	18.1	0	0	0.0	1.4	4.9	3.4	2.5	.302	53.8	92.6	8.35	6.84
Edgar Santana	PIT	19	18.0	0	0	0.0	1.7	10.0	6.0	1.0	.304	80.8	95.1	3.50	4.49
Eric Skoglund	KC	7	18.0	5	1	20.0	1.2	7.0	6.0	1.0	.431	57.5	91.5	9.50	5.16
Cody Reed	CIN	12	17.2	1	0	0.0	0.9	8.7	9.7	1.5	.200	74.1	94.3	5.09	6.82
Nik Turley	MIN	10	17.2	3	0	0.0	1.6	6.6	4.1	2.5	.410	48.5	93.4	11.21	6.81
Justin Wilson	CHC	23	17.2	0	0	0.0	1.3	12.7	9.7	0.0	-	73.0	96.0	5.09	3.70
Austin Maddox	BOS	13	17.1	0	0	0.0	7.0	7.3	1.0	0.5	.240	100.0	95.2	0.52	2.69
John Gant	STL	7	17.1	2	0	0.0	1.1	5.7	5.2	2.1	.260	78.3	93.0	4.67	6.72
Ben Taylor	BOS	14	17.1	0	0	0.0	2.0	9.3	4.7	1.6	.340	73.1	92.3	5.19	4.98
Tim Mayza	TOR	19	17.0	0	0	0.0	6.8	14.3	2.1	1.6	.467	60.0	93.9	6.88	3.05
Tom Koehler	TOR	15	17.0	1	0	0.0	3.0	9.5	3.2	0.5	-	81.0	92.9	2.65	2.94
Sam Dyson	TEX	17	16.2	0	0	0.0	0.6	3.8	6.5	3.2	-	62.2	95.1	10.80	9.27
Luis Santos	TOR	10	16.2	0	0	0.0	4.0	8.6	2.2	2.2	.250	93.3	92.7	2.70	5.14
Carlos Ramirez	TOR	12	16.2	0	0	0.0	4.7	7.6	1.6	1.6	.081	66.7	92.1	2.70	4.42
Dario Alvarez	TEX	20	16.1	0	0	0.0	1.2	9.4	7.7	0.6	.367	87.5	92.1	2.76	4.57
Yacksel Rios	PHI	13	16.1	0	0	0.0	1.9	9.4	5.0	2.2	.256	80.0	94.1	4.41	6.01
Reymin Guduan	HOU	22	16.0	0	0	0.0	1.3	9.0	6.8	0.6	.426	62.9	95.1	7.88	4.34
Erick Fedde	WAS	3	15.1	3	0	0.0	1.9	8.8	4.7	2.9	.426	60.7	93.0	9.39	7.10
Aaron Slegers	MIN	4	15.1	3	1	33.3	1.5	5.3	3.5	1.8	.200	46.7	90.5	6.46	5.78
Andrew Kittredge	TB	15	15.1	0	0	0.0	2.3	8.2	3.5	1.2	.250	94.1	94.5	1.76	4.28
A.J. Minter	ATL	16	15.0	0	0	0.0	13.0	15.6	1.2	0.6	.387	71.4	95.9	3.00	1.01
Vidal Nuno	BAL	12	14.2	0	0	0.0	1.3	8.0	6.1	4.3	.340	61.5	89.4	10.43	9.75
Henderson Alvarez	PHI	3	14.2	3	0	0.0	0.5	3.7	6.7	1.2	.250	78.3	91.4	4.30	6.48
George Kontos	PIT	15	14.2	0	0	0.0	5.0	9.2	1.8	0.6	-	81.8	91.0	1.84	2.68
Francisco Liriano	HOU	20	14.1	0	0	0.0	1.1	6.9	6.3	0.0	-	70.8	92.9	4.40	3.83
Danny Farquhar	CWS	15	14.1	0	0	0.0	2.0	7.5	3.8	0.6	-	62.5	93.1	4.40	3.73
Jake Buchanan	CIN	5	14.1	0	0	0.0	0.6	2.5	4.4	0.6	.371	60.0	88.9	8.16	5.06
Mike Morin	LAA	10	14.1	0	0	0.0	5.0	6.3	1.3	1.9	-	60.0	90.5	6.91	4.96
Dan Winkler	ATL	16	14.1	0	0	0.0	3.0	11.3	3.8	0.6	.214	75.0	93.6	2.51	2.89
Domingo German	NYY	7	14.1	0	0	0.0	2.0	11.3	5.7	0.6	.294	78.9	96.4	3.14	3.54
Ryan Sherriff	STL	13	14.1	0	0	0.0	3.8	9.4	2.5	1.3	.289	80.0	91.7	3.14	3.79
Ricardo Rodriguez	TEX	16	13.0	0	0	0.0	2.8	7.6	2.8	2.1	.341	66.7	95.4	6.23	5.46
Brandon Finnegan	CIN	4	13.0	4	1	25.0	1.2	11.1	9.0	0.7	.276	76.2	93.1	4.15	4.84
Rob Zastryzny	CHC	4	13.0	0	0	0.0	1.6	7.6	4.8	1.4	.415	58.3	89.9	8.31	5.18
Tom Layne	NYY	19	13.0	0	0	0.0	1.1	6.2	5.5	0.7	.341	56.5	88.0	7.62	4.72
Yohander Mendez	TEX	7	12.1	0	0	0.0	2.3	5.1	2.2	2.2	.263	69.2	92.5	5.11	5.98
Brad Goldberg	CWS	11	12.0	0	0	0.0	0.2	2.3	10.5	1.5	.293	65.4	96.1	8.25	8.48
Sam Gaviglio	KC	4	12.0	2	0	0.0	1.8	6.8	3.8	0.8	-	82.4	88.6	3.00	4.07
