															
Player	Team	G	IP	GS	QS	QS%	K/BB	K/9	BB/9	HR/9	BABIP	Str%	FB MPH	ERA	FIP
Sam Moll	OAK	11	6.2	0	0	0.0	2.3	9.5	4.1	2.7	.478	57.1	92.4	10.80	6.40
Jamie Callahan	NYM	9	6.2	0	0	0.0	5.0	6.8	1.4	0.0	.292	62.5	95.9	4.05	2.17
Jace Fry	CWS	11	6.2	0	0	0.0	0.6	4.1	6.8	1.4	.407	56.3	93.6	10.80	6.58
Carson Smith	BOS	8	6.2	0	0	0.0	3.5	9.5	2.7	0.0	.389	88.9	92.0	1.35	2.03
Reyes Moronta	SF	7	6.2	0	0	0.0	3.7	14.9	4.1	1.4	.357	87.5	95.7	2.70	3.25
Gabriel Moya	MIN	7	6.1	0	0	0.0	2.5	7.1	2.8	2.8	.176	80.0	90.8	4.26	6.71
Tyler Webb	NYY	7	6.0	0	0	0.0	1.3	7.5	6.0	1.5	-	66.7	91.2	4.50	5.77
Jairo Labourt	DET	6	6.0	0	0	0.0	0.6	6.0	10.5	0.0	.235	72.7	93.0	4.50	5.48
Jen-Ho Tseng	CHC	2	6.0	1	0	0.0	4.0	12.0	3.0	3.0	.231	40.0	92.0	7.50	5.90
Mike Morin	KC	6	5.2	0	0	0.0	2.0	9.5	4.8	0.0	-	54.5	90.5	7.94	2.72
Kyle Ryan	DET	8	5.2	0	0	0.0	0.1	1.6	11.1	0.0	.429	68.8	90.5	7.94	6.68
Richard Rodriguez	BAL	5	5.2	0	0	0.0	1.0	4.8	4.8	6.4	.400	54.5	93.8	14.29	12.96
Diego Moreno	TB	5	5.2	0	0	0.0	3.0	9.5	3.2	1.6	.313	71.4	95.2	4.76	4.47
Anthony Bass	TEX	2	5.2	0	0	0.0	0.0	1.6	0.0	1.6	.448	38.5	92.3	14.29	5.14
Dillon Maples	CHC	6	5.1	0	0	0.0	1.8	18.6	10.1	0.0	.600	50.0	96.8	10.13	2.56
Roberto Gomez	SF	4	5.1	0	0	0.0	6.0	10.1	1.7	0.0	.474	50.0	95.2	8.44	1.53
Austin Adams	WAS	6	5.0	0	0	0.0	1.3	18.0	14.4	0.0	-	83.3	0.0	3.60	4.16
Tyler Danish	CWS	1	5.0	1	0	0.0	1.0	10.8	10.8	0.0	.273	100.0	89.7	0.00	4.52
Chris Smith	TOR	4	5.0	0	0	0.0	1.0	1.8	1.8	1.8	.300	71.4	93.6	5.40	6.02
Jairo Diaz	COL	4	5.0	0	0	0.0	0.4	3.6	9.0	0.0	.545	70.6	97.3	9.00	5.50
Zac Curtis	SEA	3	4.2	0	0	0.0	2.0	3.9	1.9	1.9	-	133.3	91.2	0.00	5.79
Hunter Cervenka	MIA	5	4.2	0	0	0.0	0.8	11.6	15.4	0.0	.125	11.1	93.1	15.43	5.94
Mike Mayers	STL	3	4.2	0	0	0.0	0.8	5.8	7.7	3.9	.375	60.0	94.2	11.57	10.14
Taylor Williams	MIL	5	4.2	0	0	0.0	2.0	7.7	3.9	0.0	.286	83.3	95.9	1.93	2.81
Dillon Overton	SD	1	4.2	1	0	0.0	1.5	5.8	3.9	3.9	-	77.8	89.2	7.71	8.81
Noe Ramirez	BOS	2	4.2	0	0	0.0	4.0	7.7	1.9	3.9	-	100.0	89.8	3.86	7.72
Jack Leathersich	PIT	6	4.1	0	0	0.0	3.0	12.5	4.2	0.0	-	100.0	91.8	0.00	1.86
Jordan Jankowski	HOU	3	4.1	0	0	0.0	2.5	10.4	4.2	6.2	.333	50.0	91.2	12.46	11.32
Keury Mella	CIN	2	4.0	0	0	0.0	0.5	2.3	4.5	2.3	.267	66.7	95.9	6.75	7.50
Dietrich Enns	MIN	2	4.0	1	0	0.0	2.0	4.5	2.3	4.5	.313	83.3	89.6	6.75	9.48
Shane Carle	COL	3	4.0	0	0	0.0	0.0	9.0	0.0	2.3	.357	60.0	93.6	6.75	4.45
Dan Runzler	PIT	8	4.0	0	0	0.0	2.0	9.0	4.5	4.5	.417	100.0	94.9	4.50	9.25
Kyle Lloyd	SD	1	4.0	1	0	0.0	1.0	4.5	4.5	2.3	.333	57.1	85.8	9.00	7.00
Andres Machado	KC	2	3.2	0	0	0.0	0.3	2.5	7.4	4.9	.444	36.4	95.9	22.09	12.28
Wilmer Font	LAD	3	3.2	0	0	0.0	0.8	7.4	9.8	4.9	.385	44.4	93.8	17.18	12.04
Max Povse	SEA	3	3.2	0	0	0.0	2.0	4.9	2.5	2.5	.471	77.8	94.6	7.36	6.50
Ryan Weber	SEA	1	3.2	1	0	0.0	0.0	0.0	0.0	0.0	.214	66.7	89.5	2.45	3.20
Zac Curtis	PHI	3	3.2	0	0	0.0	2.0	9.8	4.9	0.0	-	80.0	91.2	2.45	2.71
Marco Gonzales	STL	1	3.1	1	0	0.0	0.0	5.4	0.0	8.1	-	33.3	91.5	13.50	13.70
Sean Gilmartin	NYM	2	3.1	0	0	0.0	4.0	10.8	2.7	5.4	.500	57.1	89.8	13.50	9.53
Oliver Drake	BAL	3	3.1	0	0	0.0	1.0	8.1	8.1	0.0	-	66.7	91.9	8.10	4.19
Trevor Gott	WAS	4	3.0	0	0	0.0	1.0	9.0	9.0	3.0	.625	30.8	95.0	30.00	8.63
Ronald Herrera	NYY	2	3.0	0	0	0.0	3.0	9.0	3.0	3.0	.250	66.7	91.6	6.00	6.57
Jose De Leon	TB	1	2.2	0	0	0.0	0.7	6.8	10.1	3.4	.333	66.7	91.7	10.13	10.06
Luke Farrell	KC	1	2.2	1	0	0.0	0.7	6.8	10.1	3.4	-	55.6	91.0	16.88	10.06
Brian Flynn	KC	1	2.1	0	0	0.0	0.0	0.0	0.0	0.0	.375	66.7	92.6	3.86	3.20
Randy Rosario	MIN	2	2.1	0	0	0.0	0.0	7.7	0.0	3.9	.545	-16.7	93.5	30.86	7.06
Drew Anderson	PHI	2	2.1	0	0	0.0	2.0	7.7	3.9	0.0	.545	14.3	93.6	23.14	2.81
Tyler Webb	MIL	2	2.0	0	0	0.0	3.0	13.5	4.5	4.5	-	83.3	91.2	9.00	8.25
Miguel Almonte	KC	2	2.0	0	0	0.0	0.0	0.0	9.0	0.0	.500	57.1	95.5	13.50	6.30
Jorge Lopez	MIL	1	2.0	0	0	0.0	0.0	0.0	4.5	0.0	.444	80.0	94.9	4.50	4.75
Chaz Roe	ATL	3	2.0	0	0	0.0	0.5	4.5	9.0	0.0	-	60.0	92.8	9.00	5.30
Kyle Crockett	CLE	4	1.2	0	0	0.0	2.0	10.8	5.4	0.0	.571	60.0	87.9	10.80	2.66
Tanner Scott	BAL	2	1.2	0	0	0.0	1.0	10.8	10.8	0.0	.400	50.0	98.0	10.80	4.52
Wei-Chung Wang	MIL	8	1.1	0	0	0.0	0.0	13.5	0.0	6.8	.667	75.0	94.1	13.50	9.95
Juan Nicasio	PHI	2	1.1	0	0	0.0	0.0	6.8	0.0	0.0	-	0.0	95.4	0.00	1.70
Justin Marks	TB	1	1.1	0	0	0.0	1.0	6.8	6.8	6.8	.250	100.0	89.5	6.75	13.78
Taylor Cole	TOR	1	1.0	0	0	0.0	1.0	9.0	9.0	0.0	.857	42.9	92.8	36.00	4.30
Kirby Yates	LAA	1	1.0	0	0	0.0	0.0	9.0	0.0	18.0	-	0.0	94.1	18.00	27.20
Daniel Slania	SF	1	1.0	0	0	0.0	0.0	0.0	0.0	0.0	.000	0.0	92.5	0.00	3.20
Jose Ruiz	SD	1	1.0	0	0	0.0	1.0	9.0	9.0	0.0	.000	100.0	95.3	0.00	4.30
Tyler Cloyd	SEA	1	1.0	0	0	0.0	0.0	9.0	0.0	0.0	.667	100.0	90.3	0.00	1.20
Thyago Vieira	SEA	1	1.0	0	0	0.0	0.0	9.0	0.0	0.0	.000	0.0	98.7	0.00	1.20
Glenn Sparkman	TOR	2	1.0	0	0	0.0	1.0	9.0	9.0	0.0	.900	30.0	94.0	63.00	4.30
Jack Leathersich	CHC	1	0.2	0	0	0.0	0.3	13.5	54.0	0.0	-	60.0	91.8	27.00	18.80
Zac Rosscup	CHC	1	0.2	0	0	0.0	0.0	0.0	0.0	0.0	-	0.0	93.2	0.00	3.20
Roenis Elias	BOS	1	0.1	0	0	0.0	1.0	27.0	27.0	0.0	.000	100.0	92.3	0.00	6.50
Hunter Wood	TB	1	0.1	0	0	0.0	0.0	0.0	0.0	0.0	.000	0.0	90.0	0.00	3.20
